HTEJ_HIND	logFC	logCPM	PValue	FDR	level	Kindom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	B4012Hb	B4012Hc	B4012He	C4025Hc	C4025He	C4025Hf	H4075Hc	H4075He	H4075Hf	K4094Ha	K4094Hb	K4094Hc	B4017Ha	B4017Hh	B4017Hd	S4167Hc	S4167Hd	S4167He	H4071Ha	H4071Hb	H4071Hc	J4083Hb	J4083Hc	J4083Hd	J4089Ha	J4089Hb	J4089Hf	J4090Ha	J4090Hb	J4090Hd	K4091Ha	K4091Hd	K4091He	N4123Ha	N4123Hb	N4123Hf	P4139Hb	P4139Hc	P4139He	Q4147Hd	Q4147He	Q4147Hf	Q4148Ha	Q4148Hd	Q4148Hf	Q4149Hb	Q4149Hc	Q4149Hf	T4177Ha	T4177Hc	T4177Hf	T4179Ha	T4179Hc	T4179Hd	Y4211Ha	Y4211Hc	Y4211Hf	B4020Ha	B4020Hb	B4020Hd	C4021Ha	C4021Hc	C4021Hf	C4022Hb	C4022Hd	C4022Hf	C4027Ha	C4027Hb	C4027Hc	L4101Ha	L4101Hd	L4101Hf	L4103Ha	L4103Hb	L4103Hd	L4108Hc	L4108He	L4108Hf	Y4216Ha	Y4216Hd	Y4216He	B4014Ha	B4014Hc	B4014Hd	B4018Ha	B4018Hd	B4018Hf	B4019Ha	B4019Hb	B4019Hc	D4034Hc	D4034Hd	D4034He	D4037Ha	D4037Hc	D4037Hf	E4043Ha	E4043Hc	E4043Hf	E4045Hd	E4045He	E4045Hf	E4049Ha	E4049Hc	E4049Hd	F4056Hb	F4056Hd	F4056He	G4062Ha	G4062Hb	G4062Hf	G4066Ha	G4066Hb	G4066Hc	H4076Hc	H4076He	H4076Hf	H4080Ha	H4080Hd	H4080He	K4093Ha	K4093Hd	K4093He	K4096Hb	K4096Hd	K4096Hf	L4105Ha	L4105Hb	L4105Hc	M4112Ha	M4112Hb	M4112Hd	M4113Hb	M4113Hd	M4113Hf	M4114Hb	M4114He	M4114Hf	M4115Hc	M4115Hd	M4115He	M4117Ha	M4117Hc	M4117Hf	M4118Ha	M4118Hb	M4118Hc	M4119Ha	M4119Hb	M4119Hd	M4120Hd	M4120He	M4120Hf	N4121Hb	N4121Hc	N4121He	N4126Hc	N4126He	N4126Hf	N4127Ha	N4127Hb	N4127Hc	N4130Hc	N4130Hd	N4130He	P4135Hb	P4135Hc	P4135He	Q4141Ha	S4168Ha	S4168Hd	S4168Hf	W4194Hb	W4194Hc	W4194Hf	W4200Ha	W4200Hc	W4200Hf	X4203Hd	X4203He	X4203Hf	X4205Hb	X4205He	X4205Hf	Y4215Ha	Y4215Hb	Y4215Hf	D4040Hb	D4040Hc	D4040He	F4057Hc	F4057Hd	F4057Hf	J4087Hc	J4087Hd	J4087He	Q4142Hc	Q4142Hd	Q4142He	Q4143Ha	Q4143Hb	Q4143Hc	Q4144Hb	Q4144Hc	Q4144He	Q4146Ha	Q4146Hd	Q4146Hf	R4154Hc	R4154He	R4154Hf	E4041He	E4041Hf	E4041Hg	E4047Hb	E4047Hc	E4047Hd	E4048Ha	E4048Hc	E4048Hd	E4050Ha	E4050Hb	E4050Hf	S4165Hb	S4165Hc	S4165He	F4054Ha	F4054Hc	F4054Hd	F4055Hb	F4055Hc	F4055Hf	F4060Hc	F4060Hd	F4060He	H4074Ha	H4074He	H4074Hf	J4088Hc	J4088Hd	J4088He	P4140Ha	P4140Hc	P4140Hd	Q4145Ha	Q4145He	Q4145Hf	G4061Ha	G4061Hb	W4195Hb	W4195Hc	W4195He	W4196Ha	W4196Hb	W4196Hc	W4197Ha	W4197Hb	W4197Hc	X4204Ha	X4204Hc	X4204He	A4002Hc	A4002Hd	A4002Hf	A4010Hb	A4010Hd	A4010He	E4044Hc	E4044Hd	E4044He	G4065Hb	G4065Hd	G4065He	H4079Ha	H4079Hb	H4079Hc	L4110Ha	L4110Hd	L4110He	X4210Ha	X4210Hc	X4210Hf
Unassigned	-0.418	14.871	8.41884924693555e-07	5.33193785639252e-06	Depleted	NA	NA	NA	NA	NA	NA	NA	0.937	1.252	0.93	1.374	1.182	1.302	1.262	1.191	0.56	0.998	1.502	0.938	0.372	0.724	2.187	1.48	1.973	1.421	1.186	1.547	0.475	0.909	0.62	0.392	0.665	0.577	0.835	0.988	0.918	1.827	1.526	1.269	0.704	0.646	0.689	0.267	0.472	1.226	0.372	0.792	0.456	0.35	0.227	0.686	1.182	1.042	1.093	0.832	0.79	0.709	0.291	0.768	1.061	0.643	0.499	1.054	0.816	0.631	1.203	0.833	0.511	0.624	1.253	0.644	0.84	0.609	0.699	0.76	1.225	0.712	0.802	1.071	1.503	1.162	1.142	0.662	0.809	1.232	1.472	0.821	1.261	1	1.634	1.071	0.96	0.671	2.701	0.805	1.088	1.806	0.624	0.669	1.731	1.241	1.172	1.836	1.182	1.171	1.444	1.292	1.123	1.723	1.323	1.152	1.102	1.142	0.726	1.382	0.975	2.556	0.955	0.845	0.893	0.868	2.038	2.498	0.787	1.051	1.712	0.938	0.853	1.603	1.643	1.082	1.511	1.241	1.23	0.955	1.684	1.263	2.996	1.662	1.612	1.155	1.952	1.342	1.457	1.396	2.109	1.972	1.914	2.234	1.673	1.218	0.997	1.344	1.471	1.821	0.861	0.707	1.584	1.62	1.678	2.374	1.256	1.529	0.723	1.161	2.36	1.853	1.682	0.892	1.165	0.888	1.348	1.635	1.212	0.611	1.394	0.412	1.483	1.512	1.386	1.797	2.089	1.714	2.329	1.192	1.562	1.032	1.203	1.635	1.625	0.555	0.613	0.756	0.999	0.991	1.162	0.801	0.556	1.224	1.242	1.141	1.194	0.875	0.884	0.595	1.231	1.233	1.031	0.574	0.841	0.891	1.122	1.012	0.81	1.589	0.938	0.654	0.879	1.071	1.103	0.744	0.894	0.815	1.082	0.795	2.047	0.75	0.973	0.537	1.264	1.301	1.367	0.858	0.811	1.446	0.938	0.875	0.939	0.517	0.804	2.181	1.061	1.052	1.713	1.513	0.915	1.545	1.555	0.834	0.495	0.642	0.538	0.62	0.644	0.848	0.5	0.706	1.124	1.396	1.477	1.546	1.162	0.958	1.732	1.042	1.742	1.305	0.81	0.802	1.262	1.131	0.985	1.033	0.863	1.15	0.496	1.203	0.835	0.657	1.433	1.453	2.571	1.145	1.142	1.598	2.395	1.902	2.413	2.203	1.481	1.433
Rhodospirillaceae	0.89	16.246	9.09567887524344e-05	0.000324033559930547	Enriched	NA	NA	NA	NA	NA	NA	NA	1.152	0.622	1.362	0.431	1.472	0.991	2.223	0.729	0.788	0.499	2.233	0.167	5.354	0.392	0.759	0.771	2.023	0.276	0.455	0.457	0.33	1.529	0.351	1.11	1.331	0.968	1.374	1.294	0.606	0.608	0.25	0.125	0.477	1.211	1.132	2.71	0.945	3.116	1.361	0.542	0.29	0.556	0.165	0.187	0.379	0.727	0.505	0.77	0.249	0.897	1.449	3.152	1.291	1.533	2.204	1.637	1.914	0.651	1.123	0.366	0.756	0.584	0.344	0.125	0.369	1.222	0.534	0.253	0.611	0.549	0.535	0.823	1.223	1.062	0.856	0.475	0.892	3.025	7.772	6.608	0.231	0.208	1.454	0.329	0.146	0.285	0.767	1.383	0.449	2.058	0.458	0.335	0.563	0.357	0.63	1.957	0.623	0.125	0.351	0.267	0.395	0.295	0.754	0.355	0.376	0.437	0.602	0.525	0.042	0.419	0.582	0.247	0.893	0.206	0.208	0.308	0.269	0.165	1.262	0.521	0.187	0.646	0.208	0.355	0.893	1.511	0.501	0.311	1.724	2.045	0.398	0.415	1.161	1.566	1.173	1.08	0.882	0.982	0.531	0.844	0.46	1.152	0.404	0.529	0.518	0.394	0.634	0.524	0.483	0.311	0.801	0.856	0.424	0.811	0.373	0.618	0.382	0.21	0.695	0.753	0.6	0.29	0.476	0.253	1.066	0.818	0.962	0.168	0.324	0.226	0.637	0.147	0.447	0.372	0.386	0.266	0.361	1.012	0.436	0.802	0.457	0.256	0.301	0.267	0.449	0.265	0.416	0.546	1.142	0.985	0.31	1.204	0.147	0.496	0.325	0.479	0.391	0.738	0.541	1.073	0.23	0.246	0.205	0.488	0.449	0.264	0.789	0.505	0.542	0.57	0.163	0.246	0.328	0.495	0.416	0.711	0.186	0.272	0.69	0.813	1.308	1.757	1.325	1.011	1.739	0.293	0.155	0.355	0.48	0.354	0.355	0.828	0.494	0.539	0.29	0.473	0.529	1.032	0.583	0.479	0.291	1.083	0.638	0.786	0.641	0.827	0.415	0.765	0.146	0.353	0.439	0.654	1.266	0.984	0.707	1.833	0.959	0.457	0.471	0.604	0.478	0.597	0.289	0.267	0.402	1.203	1.501	0.45	0.412	0.245	0.366	2.299	0.394	0.166	0.981	1.065	0.393	1.065	0.878	0.847	1.692	0.663	0.728	0.749
Desulfuromonadaceae	-0.764	14.436	8.98718871761069e-15	1.53680927071143e-12	Depleted	NA	NA	NA	NA	NA	NA	NA	0.547	0.93	0.723	1.916	0.918	0.784	0.66	0.624	0.747	0.81	0.636	0.667	0.33	0.455	0.822	0.417	0.904	1.119	1.266	1.316	0.186	0.558	0.351	0.288	0.54	0.494	0.688	0.597	0.585	0.965	0.626	0.647	0.248	0.208	0.293	0.062	0.205	0.519	0.124	0.25	0.29	0.123	0.268	0.332	0.632	0.416	0.569	0.374	0.686	0.542	0.353	0.228	0.606	0.519	0.416	0.602	0.571	0.529	0.632	0.325	0.286	0.302	0.648	0.582	0.451	0.526	0.39	0.528	1.044	0.366	0.535	0.474	0.488	0.549	0.327	0.827	0.207	0.33	0.706	0.369	0.566	0.563	0.715	1.071	0.668	0.447	0.767	0.784	1.088	0.95	0.521	0.46	0.981	1.011	0.546	1.505	1.413	1.291	1.283	0.884	0.852	1.032	1.553	0.711	0.981	1.021	0.934	1.031	1.495	1.554	0.789	0.927	0.707	1.241	1.606	2.217	1.62	1.221	1.121	1.56	0.957	1.543	1.312	1.212	0.976	0.798	0.834	0.602	1.303	0.743	1.971	1.042	0.931	0.831	1.052	0.962	0.921	1.255	1.16	1.65	1.652	1.132	1.401	0.667	0.441	1.124	0.832	0.757	0.882	0.624	1.453	0.954	0.943	1.368	0.746	1.277	1.191	0.653	1.311	1.239	1.359	0.706	0.714	1.062	1.287	1.535	1.252	1.141	1.805	1.032	1.092	1.472	1.155	1.817	0.913	1	1.687	1.373	1.892	1.643	1.805	1.063	1.324	0.719	1.019	0.551	1.233	0.869	1.592	0.493	0.556	1.063	1.352	1.431	1.214	0.667	1.051	0.471	0.853	0.789	0.796	1.332	0.82	1.424	1.202	0.954	0.81	1.147	0.668	0.591	0.47	1.071	1.273	0.454	0.353	0.481	0.892	0.795	0.836	0.376	0.704	0.373	0.578	0.828	0.6	1.233	1.506	0.87	0.458	0.437	0.417	0.228	0.309	0.995	0.477	0.617	0.672	0.745	0.457	0.73	0.602	0.346	0.411	0.207	0.207	0.145	0.519	0.331	0.229	0.498	0.69	0.675	0.769	0.858	0.458	1.162	1.041	0.498	0.675	0.644	0.748	0.7	0.496	1.011	0.784	0.764	0.205	0.409	0.247	0.591	0.53	0.822	0.89	0.727	0.735	0.624	0.662	0.842	1.177	0.904	0.776	1.308	0.814	0.604
Planctomycetaceae	0.015	12.615	0.638624004844494	0.672138121976708	NotSig	NA	NA	NA	NA	NA	NA	NA	0.183	0.181	0.041	0.206	0.204	0.124	0.165	0.291	0.042	0.354	0.062	0.063	0.062	0.186	0.295	0.375	0.295	0.295	0.099	0.08	0.083	0.083	0.103	0.144	0.042	0.041	0.146	0.206	0.209	0.399	0.334	0.333	0.124	0.27	0.272	0.123	0.062	0.394	0.083	0.146	0.124	0.062	0.083	0.187	0.294	0.166	0.337	0.125	0.249	0.417	0.083	0.124	0.25	0.166	0.207	0.29	0.163	0.244	0.265	0.162	0.082	0.543	0.243	0.062	0.123	0.063	0.164	0.127	0.177	0.02	0.062	0.288	0.305	0.163	0.163	0.31	0.207	0.082	0.141	0.103	0.126	0.291	0.102	0.103	0.042	0.142	0.422	0.103	0.171	0.194	0.229	0.104	0.209	0.126	0.063	0.292	0.104	0.083	0.165	0.205	0.166	0.273	0.167	0.229	0.167	0.145	0.062	0.105	0.103	0.167	0.166	0.041	0.166	0.021	0.167	0.164	0.062	0.083	0.145	0.083	0.083	0.166	0.083	0.083	0.145	0.084	0.146	0.104	0.183	0.1	0.419	0.145	0.227	0.183	0.351	0.404	0.249	0.138	0.587	0.442	0.326	0.558	0.442	0.255	0.249	0.158	0.277	0.543	0.084	0.083	0.248	0.35	0.212	0.257	0.393	0.29	0.149	0.252	0.488	0.27	0.348	0.166	0.173	0.106	0.443	0.566	0.209	0.084	0.121	0.103	0.082	0.126	0.101	0.166	0.243	0.163	0.201	0.121	0.083	0.164	0.124	0.362	0.201	0.021	0.082	0.082	0.083	0.061	0.204	0.082	0.062	0.06	0.105	0.103	0.121	0.063	0.103	0.061	0.021	0.061	0.146	0.041	0.062	0.043	0.183	0.081	0.124	0.233	0.042	0.021	0.102	0.082	0.062	0.185	0.229	0.084	0.166	0.125	0.23	0.187	0.104	0.248	0.186	0.124	0.311	0.078	0.058	0.237	0.167	0.125	0.166	0.062	0.453	0.228	0.228	0.123	0.326	0.414	0.187	0.23	0.291	0.326	0.103	0.29	0.083	0.124	0.208	0.124	0.166	0.166	0.627	0.506	0.228	0.376	0.208	0.083	0.625	0.124	0.143	0.117	0.145	0.041	0.247	0.062	0.1	0.165	0.103	0.061	0.103	0.122	0.163	0.02	0.145	0.207	0.082	0.141	0.103	0.124	0.239	0.211	0.122	0.409	0.15	0.145
Syntrophobacteraceae	-0.355	13.473	0.000585306470043408	0.00164077715372824	Depleted	NA	NA	NA	NA	NA	NA	NA	0.141	0.181	0.103	0.267	0.285	0.268	0.165	0.125	0.021	0.021	0.082	0.083	0	0.041	0.421	0.167	0.315	0.276	0.257	0.517	0.041	0.083	0.021	0	0.104	0.371	0.543	0.638	0.063	0.294	0.25	0.271	0.083	0	0.063	0	0	0.208	0	0.083	0.249	0.041	0.021	0.083	0.21	0.187	0.19	0.146	0.228	0.083	0	0.062	0.042	0.021	0.021	0.249	0.041	0.061	0.041	0.162	0.041	0.06	0.445	0.083	0.061	0.021	0.082	0.084	0.177	0.041	0.062	0.123	0.101	0.142	0.061	0.103	0.062	0.165	0.424	0.062	0.168	0.104	0.102	0.123	0.042	0.162	0.652	0.082	0.107	0.33	0.083	0.084	0.188	0.147	0.147	0.354	0.104	0.292	0.31	0.144	0.166	0.147	0.209	0.063	0.125	0.166	0.104	0.105	0.103	0.377	0.125	0.392	0.021	0.062	0.27	0.287	0.021	0.062	0.103	0.146	0.208	0.313	0.437	0.063	0.249	0.084	0.167	0.083	0.326	0.301	0.378	0.166	0.289	0.203	0.389	0.365	0.307	0.275	0.322	0.134	0.211	0.289	0.346	0.235	0.23	0.198	0.297	0.388	0.252	0.042	0.362	0.254	0.25	0.356	0.157	0.347	0.085	0.042	0.488	0.212	0.329	0.124	0.065	0	0.262	0.125	0.271	0.084	0.101	0.082	0.185	0.21	0.325	0.31	0.264	0.327	0.422	0.222	0.228	0.185	0.166	0.234	0.201	0.041	0.082	0.061	0.104	0.101	0.163	0.082	0.021	0.12	0.168	0.103	0.121	0.104	0.164	0.061	0.104	0.203	0.084	0.082	0.082	0.106	0.122	0.101	0.062	0.213	0.063	0.063	0.102	0.226	0.226	0.083	0.124	0.104	0.186	0	0.168	0.146	0.124	0.021	0.124	0.145	0.269	0.195	0.174	0.296	0.104	0.166	0.104	0.021	0.041	0.539	0.062	0.123	0.387	0.289	0.042	0.104	0.312	0.02	0	0.103	0.021	0.145	0.042	0.103	0.021	0.104	0.063	0.253	0.249	0.147	0.166	0.083	0.125	0.124	0.716	0.195	0.083	0.062	0.124	0.205	0.121	0.103	0.062	0.082	0.103	0.142	0.102	0.123	0.145	0.104	0.572	0.1	0.124	0.144	1.137	0.25	0.245	0.233	0.171	0.083
Clostridiaceae_1	-0.157	17.476	0.961385666246332	0.967040876047781	NotSig	NA	NA	NA	NA	NA	NA	NA	2.071	2.309	0.682	1.234	1.552	1.753	1.652	1	0.249	0.311	0.266	1.331	0.413	0.786	1.816	2.25	1.952	1.078	4.22	4.713	0.64	1.22	1.732	0.804	2.432	1.19	2.438	2.347	1.925	3.735	2.841	8.62	2.093	1.231	2.735	1.3	0.904	1.146	2.191	2.815	1.824	0.556	2.04	2.494	3.345	5.18	1.876	4.762	3.706	3.543	0.416	0.83	5.035	0.934	0.831	2.611	0.898	1.062	2.647	0.997	1.141	2.295	2.797	2.913	2.721	1.763	8.145	4.037	3.465	1.711	3.885	1.132	0.955	0.915	0.815	1.183	0.85	0.887	0.605	0.493	3.943	1.692	2.186	0.946	1.131	0.813	2.651	3.097	3.404	1.029	2.064	3.005	2.962	2.101	1.743	1.415	1.784	2.602	2.947	1.032	2.436	13.124	4.75	2.485	1.152	1.252	0.561	1.052	0.602	1.443	1.5	0.577	0.498	0.579	1.455	0.923	0.89	0.682	1.322	1.17	2.102	2.064	2.334	1.022	1.581	1.051	1.86	1.22	1.143	1.102	2.956	3.525	1.261	1.396	1.497	2.463	1.186	0.786	1.463	1.519	1.652	1.678	1.844	0.824	0.633	0.907	1.742	1.087	1.363	0.457	1.281	1.398	0.751	1.519	1.336	1.539	0.723	1.582	2.249	1.118	1.369	2.589	1.085	0.74	1.891	1.575	1.152	0.548	1.564	0.617	0.781	2.042	1.607	3.352	1.396	1.433	2.61	0.871	0.727	0.802	0.998	1.615	0.923	0.576	1.019	1.061	1.083	0.991	1.101	1.253	0.783	0.784	18.229	2.402	2.659	0.854	1.031	0.677	2.493	1.594	3.543	0.963	0.943	0.849	1.122	1.032	0.686	1.458	1.253	0.78	1.002	1.782	2.175	4.641	1.434	4.16	2.775	1.343	2.006	0.521	0.891	1.054	2.398	2.542	4.985	1.213	1.084	6.728	1.672	1.835	0.771	0.931	0.742	2.071	7.65	1.483	2.054	2.644	0.79	0.981	3.45	4.603	6.136	3.039	1.84	2.769	0.768	1.362	2.795	7.596	4.558	2.933	3.949	4.96	1.813	2.624	4.455	6.522	3.684	6.727	2.574	3.416	8.522	5.595	6.355	8.061	4.129	8.249	1.482	9.285	2.934	1.949	6.584	13.323	8.195	0.744	1.593	1.166	1.399	1.419	1.883	1.77	2.722	1.853
Desulfovibrionaceae	-0.788	14.658	5.63478409888356e-10	1.15021233721255e-08	Depleted	NA	NA	NA	NA	NA	NA	NA	0.412	0.712	0.062	0.349	0.632	0.288	0.742	0.541	0.539	0.374	0.205	0.396	0.124	0.889	0.548	0.625	1.409	0.512	0.396	0.418	0.103	0.248	0.124	0.185	0.852	0.268	0.313	0.288	0.293	0.483	0.397	0.354	0.518	0.312	0.335	0.329	0.205	0.374	0.103	0.208	0.394	0.288	0.186	0.332	0.294	0.291	0.442	0.52	0.375	0.396	0.374	0.394	0.543	0.602	1.312	1.285	0.163	0.509	0.285	0.183	0.408	0.343	0.567	0.332	0.328	0.609	0.267	0.253	0.433	0.753	0.515	0.205	0.305	0.223	0.142	0.413	0.353	0.536	0.404	0.493	0.231	0.354	0.409	0.452	0.313	0.224	1.209	1.654	1.672	0.563	0.75	0.481	1.901	0.714	0.609	0.667	0.956	0.647	1.875	0.658	1.163	1.322	0.67	0.794	0.626	0.936	0.269	0.944	0.373	0.377	0.187	0.33	0.125	0.186	0.665	0.308	0.994	0.248	0.869	0.396	1.832	0.938	0.958	0.77	1.121	0.273	0.709	0.457	2.586	0.602	0.776	0.974	0.435	0.386	0.858	0.539	0.671	0.924	0.626	0.614	1.501	1.678	0.326	0.647	0.421	0.394	0.752	0.485	0.756	0.644	0.953	0.448	0.443	0.455	0.766	1.076	0.361	0.758	2.461	1.329	1.108	0.622	0.584	0.423	0.825	0.504	0.481	0.527	0.345	0.432	0.268	0.378	1.235	0.372	0.791	0.429	0.782	0.486	0.541	0.514	0.665	0.554	0.562	0.76	0.184	0	0.729	0.323	1.552	0.472	0.247	0.503	0.359	0.994	1.094	0.917	1.031	0.389	0.687	0.161	0.377	0.492	0.389	0.064	0.958	0.548	0.54	0.407	0.271	0.506	0.307	0.123	0.226	1.363	0.894	0.961	1.683	1.503	1.384	0.146	0.186	0.248	1.264	0.994	1.246	0.429	0.966	0.237	0.646	0.812	0.166	0.29	1.153	0.642	0.519	0.535	0.284	0.538	0.561	0.375	0.353	0.753	0.473	0.89	0.166	0.207	0.332	0.6	0.417	0.166	0.313	1.728	0.748	0.733	0.936	0.666	0.48	0.457	1.492	0.644	0.499	0.844	0.867	0.74	0.824	0.785	1.36	0.798	1.321	0.529	1.202	1.749	0.249	0.291	0.204	1.587	0.6	0.801	1.66	0.961	0.552	0.799	0.964	0.437
Thermomicrobiaceae	-0.364	13.615	0.000361702486272482	0.00112456591186535	Depleted	NA	NA	NA	NA	NA	NA	NA	0.299	0.385	0.289	0.143	0.143	0.185	0.495	0.416	0.042	0.042	0.021	0.354	0.165	0.559	0.611	0.146	0.631	0.591	0.455	0.557	0.289	0.392	0.371	0.185	0.104	0.062	0.104	0.144	0.313	1.255	1.002	0.709	0.31	0.146	0.146	0.103	0.246	0.623	0.145	0.5	0.145	0.041	0.083	0.353	0.716	0.457	0.295	0.187	0.208	0.312	0.042	0.228	0.376	0.124	0.104	0.062	0.041	0.142	0.529	0.549	0.122	0.181	0.284	0.042	0.205	0.147	0.185	0.169	0.315	0.02	0.062	0.597	0.609	0.305	0.408	0.455	0.518	0.165	0.121	0.164	0.419	0.459	0.286	0.349	0.229	0.285	0.863	0.165	0.364	0.66	0.417	0.271	0.334	0.315	0.399	0.313	0.312	0.292	0.123	0.308	0.312	0.4	0.273	0.125	0.48	0.332	0.249	0.378	0.249	0.817	0.395	0.144	0.125	0.124	0.437	0.349	0.083	0.227	0.414	0.229	0.145	0.27	0.604	0.27	0.457	0.461	0.355	0.477	0.671	0.461	0.902	0.746	0.621	0.507	0.993	0.827	0.518	0.55	0.606	0.614	0.729	0.924	0.788	0.51	0.421	0.592	0.654	0.407	0.273	0.249	0.838	0.993	0.52	0.692	0.393	0.559	0.255	0.527	0.994	0.831	0.735	0.373	0.497	0.253	0.362	0.525	0.397	0.105	0.162	0.062	0.72	0.568	0.345	0.435	0.71	1.022	0.582	0.162	0.125	0.144	0.166	0.49	0.341	0.164	0.286	0.367	0.209	0.202	0.204	0.225	0.144	0.362	0.253	0.165	0.264	0.208	0.185	0.164	0.374	0.425	0.544	0.246	0.328	0.234	0.408	0.325	0.27	0.349	0.187	0.317	0.368	0.369	0.349	0.269	0.104	0.188	0.207	0.125	0.459	0.229	0.372	0.166	0.517	0.248	0.145	0.293	0.174	0.435	0.458	0.417	0.146	0.31	0.248	0.291	0.622	0.33	0.367	0.724	0.27	0.668	0.436	0.387	0.226	0.103	0.124	0.145	0.54	0.351	0.187	0.478	0.293	0.295	0.52	0.523	0.27	0.187	0.542	0.415	0.225	0.41	0.104	0.082	0.247	0.164	0.261	0.207	0.041	0.266	0.165	0.427	0.203	0.205	0.725	0.602	0.531	0.423	0.641	0.451	0.319	0.827	0.409	0.526	0.579	0.396
Spirochaetaceae	-0.501	14.862	1.65579338050392e-06	9.76347131262655e-06	Depleted	NA	NA	NA	NA	NA	NA	NA	0.891	1.261	1.091	1.846	1.652	1.172	0.557	1	0.934	1.332	0.8	0.917	0.351	0.497	1.114	1.1	0.484	1.048	2.12	1.608	0.412	1.07	0.661	0.536	1.621	0.474	1.164	1.404	0.606	0.441	0.188	0.563	0.787	0.729	0.94	0.226	0.144	0.332	0.124	0.334	0.394	0.309	0.764	0.375	0.568	0.354	0.653	1.21	1.743	1.791	0.852	0.497	0.961	1.392	1.082	1.637	1.042	1.483	1.383	0.224	0.511	0.302	1.624	1.332	1.13	0.988	1.521	0.908	1.356	0.488	0.987	0.658	0.691	0.753	0.754	1.033	0.248	0.845	1.332	0.944	0.797	0.73	1.143	1.341	0.522	1.013	0.92	1.714	2.568	0.834	0.708	1.002	1.441	0.967	0.567	1.586	1.603	2.042	1.544	1.723	1.374	1.072	1.764	1.233	1.372	0.728	1.142	0.923	1.535	1.784	1.27	0.907	0.707	1.381	1.747	2.568	1.28	1.111	1.472	1.17	1.392	1.392	1.953	1.352	1.411	0.693	0.647	1.04	1.914	1.363	2.333	0.767	0.973	0.527	1.173	0.807	1.819	1.787	1.836	2.012	1.975	1.385	1.945	0.922	0.633	1.304	1.168	1.67	1.573	0.624	1.604	0.993	1.216	1.72	0.786	2.042	1.852	1.261	1.291	1.43	1.49	1.054	1.859	1.823	2.836	2.518	1.963	1.372	2.327	1.382	1.132	2.082	1.075	1.967	0.771	0.796	1.426	1.663	2.863	2.405	1.995	1.976	1.906	0.925	0.919	0.591	1.975	1.621	2.493	1.233	0.783	1.645	2.534	2.172	2.338	1.271	1.661	0.697	0.728	0.971	1.491	1.332	0.738	1.313	1.302	1.133	0.996	1.277	0.876	0.485	0.327	1.171	1.414	0.744	0.665	0.815	1.302	1.634	0.982	0.438	0.331	0.103	0.702	1.201	1.116	2.265	2.611	1.918	0.416	0.563	0.605	0.31	0.618	1.427	0.643	0.844	0.428	1.472	0.561	1.645	0.893	0.713	1.131	0.393	0.393	0.331	0.208	0.331	0.396	0.478	1.255	0.717	0.872	0.628	0.832	1.543	1.391	1.433	1.552	1.034	1.703	0.906	1.222	1.381	1.491	1.444	0.74	0.532	0.764	1.223	1.242	1.229	0.683	0.894	0.593	1.386	0.662	0.739	2.978	1.56	0.857	1.891	1.241	0.896
Caldilineaceae	-0.361	14.357	1.80340016935798e-05	7.907216127185e-05	Depleted	NA	NA	NA	NA	NA	NA	NA	0.488	0.627	0.434	0.555	0.551	0.372	0.824	0.603	0.166	0.29	0.143	0.647	0.165	0.455	0.885	0.271	0.694	1.179	1.206	0.437	0.496	0.537	0.537	0.206	0.228	0.124	0.292	0.288	0.627	2.098	1.797	1.188	0.394	0.312	0.293	0.082	0.267	0.664	0.289	0.542	0.228	0.123	0.206	0.644	0.968	0.686	0.527	0.437	0.416	0.396	0.125	0.311	0.648	0.207	0.207	0.125	0.163	0.428	0.55	0.549	0.265	0.363	0.588	0.332	0.328	0.274	0.411	0.591	0.591	0.102	0.556	0.576	0.548	0.387	0.51	0.434	0.518	0.144	0.181	0.226	0.881	0.834	0.797	0.885	0.522	0.509	0.69	0.31	0.855	0.874	0.417	0.418	0.688	0.693	0.63	0.646	0.561	0.626	0.413	0.679	0.645	0.799	0.586	0.501	0.48	0.562	0.332	0.819	0.519	1.423	0.561	0.33	0.228	0.351	0.687	0.841	0.145	0.413	0.807	0.605	0.479	0.75	1.042	0.479	0.602	0.546	0.521	0.561	0.773	0.602	1.659	1.392	0.911	0.71	1.052	0.769	0.94	0.295	0.91	0.71	0.978	1.446	1.189	0.589	0.421	0.809	0.832	0.717	0.168	0.353	0.991	1.147	0.674	1.046	0.903	0.984	0.446	0.905	1.805	0.772	0.58	0.498	0.908	0.487	0.503	0.985	0.669	0.315	0.506	0.247	1.232	0.924	0.61	1.505	1.336	1.553	1.385	0.324	0.582	0.411	0.478	0.979	0.562	0.267	0.347	0.469	0.375	0.364	0.49	0.308	0.288	0.503	0.717	0.372	0.467	0.417	0.555	0.266	0.624	0.587	0.942	0.409	0.697	0.53	0.489	0.67	0.415	0.563	0.48	0.422	0.654	0.533	0.698	0.351	0.145	0.397	0.477	0.335	0.941	0.334	0.601	0.373	0.722	0.517	0.269	0.468	0.309	0.989	0.605	0.417	0.355	0.455	0.309	0.435	0.684	0.371	0.773	0.807	0.519	0.543	0.685	0.427	0.247	0.187	0.331	0.207	0.561	0.435	0.396	0.519	0.523	0.506	0.706	0.795	0.354	0.375	0.771	0.685	0.451	0.292	0.333	0.515	0.722	0.493	0.442	0.475	0.123	0.532	0.371	1.043	0.591	0.246	1.052	1.222	0.634	0.483	0.724	0.78	0.559	1.097	0.47	0.935	1.011	0.708
