OTUID	1	2	3	7	10	14	21	28	35	42	49	63	70	77	84	91	98	112	119
OTU_60	0.543	0.635	0.893	1.818	4.489	4.949	13.212	40.209	30.275	7.624	11.845	26.151	32.613	44.253	56.276	44.019	82.06	68.28	59.637
OTU_55	22.303	20.347	12.524	10.954	19.445	22.323	11.41	27.361	52.36	26.29	23.159	54.87	115.608	92.072	83.786	158.108	45.385	179.925	112.523
OTU_23	5.077	8.227	3.971	4.472	3.514	16.682	25.612	17.654	24.3	26.659	27.999	12.252	17.361	16.419	33.897	31.124	54.823	23.201	36.469
OTU_70	0	0	0	0	0	0.136	0.242	0.145	0.462	0.359	0.586	1.759	0.89	1.38	0.91	4.03	9.149	1.053	5.231
OTU_196	4.737	4.659	6.594	3.983	5.577	5.45	4.695	8.79	8.912	5.004	85.633	72.204	65.212	7.505	41.183	71.146	23.538	15.037	75.716
OTU_75	5.363	2.319	15.011	9.563	8.614	6.454	5.188	4.317	3.429	5.758	2.997	4.153	7.144	6.831	12.134	12.673	8.583	21.075	9.687
OTU_25	0.04	0	0	0	0.151	0.098	0	4.739	6.058	9.465	34.752	29.067	9.145	29.772	20.729	11.468	10.738	3.481	3.465
OTU_3	0	0.045	0.044	0	0.149	0.049	0.322	0	0.912	0	0	0	0	0	0.371	1.828	0	0.05	0.132
OTU_43	0	0.455	0.089	0.043	0	0.068	0	0.032	0.553	5.423	2.057	0.052	0.288	0.851	0.275	2.675	0.55	0.128	0
OTU_12	0.089	0.041	0	0.043	0.061	0	0.28	0.163	0.167	0	0	0	0	0.049	0	0.281	0.1	0	0.038
OTU_1971	0	0	0	0	0	0.196	0.098	0	0.115	2.559	0.231	0	0	0	0	0	0	0	0
OTU_15	0.477	0.55	6.635	21.766	156.646	88.237	18.4	12.925	6.517	6.418	5.647	6.318	6.723	12.691	20.784	48.451	23.884	12.303	18.034
OTU_86	0.845	0.661	0.714	0.222	1.123	4.918	2.411	1.208	0.391	0.118	1.729	0.378	0.277	0.907	0.942	0.966	0.169	0.798	0.896
OTU_128	2.509	0.856	9.392	0.438	1.879	0.239	0	0	0	0	0	0	0.056	0.636	4.676	0.268	1.51	0.116	0
OTU_152	77.728	41.641	2.39	0.084	0.209	5.637	0.689	0.178	0.95	1.414	1.098	1.062	1.62	0.327	1.166	17.074	0.13	0.21	0.11
OTU_10	656.768	806.625	599.199	556.455	414.941	478.248	509.663	402.267	421.333	464.02	406.973	169.367	258.423	234.963	187.396	199.717	244.479	168.783	263.82
