FreshWeight
	diff	lwr	upr	p adj
Ir24GfOr-Ir24SedOr	0.00600000000000001	-0.032549416426182	0.044549416426182	0.999718372251996
Ir24JedOr-Ir24SedOr	0.00900000000000001	-0.0332287699105601	0.0512287699105601	0.997820200311242
Ir24SeOr-Ir24SedOr	0.0253333333333333	-0.0132160830928487	0.0638827497595153	0.464745554387491
Ir24IedOr-Ir24SedOr	0.032	-0.0102287699105601	0.0742287699105601	0.280018735615954
Ir24GfIn-Ir24SedOr	0.054	0.017428812486887	0.090571187513113	0.000356898881454071
Ir24JeOr-Ir24SedOr	0.0566666666666667	0.0181172502404847	0.0952160830928487	0.000386254105002815
Ir24IeOr-Ir24SedOr	0.072	0.033450583573818	0.110549416426182	2.24492269029763e-06
Ir24JedOr-Ir24GfOr	0.003	-0.035549416426182	0.041549416426182	0.999997484496372
Ir24SeOr-Ir24GfOr	0.0193333333333333	-0.0151463129154227	0.0538129795820893	0.664359473500507
Ir24IedOr-Ir24GfOr	0.026	-0.012549416426182	0.064549416426182	0.430084328173857
Ir24GfIn-Ir24GfOr	0.048	0.0157472442299974	0.0802527557700026	0.000310133805926371
Ir24JeOr-Ir24GfOr	0.0506666666666667	0.0161870204179107	0.0851463129154227	0.000388611490908852
Ir24IeOr-Ir24GfOr	0.066	0.031520353751244	0.100479646248756	1.17908258889798e-06
Ir24SeOr-Ir24JedOr	0.0163333333333333	-0.0222160830928487	0.0548827497595153	0.89261420335815
Ir24IedOr-Ir24JedOr	0.023	-0.0192287699105601	0.0652287699105601	0.696444096736513
Ir24GfIn-Ir24JedOr	0.045	0.00842881248688701	0.081571187513113	0.00566508676931954
Ir24JeOr-Ir24JedOr	0.0476666666666667	0.00911725024048465	0.0862160830928487	0.00532013928100772
Ir24IeOr-Ir24JedOr	0.063	0.024450583573818	0.101549416426182	5.03452334875698e-05
Ir24IedOr-Ir24SeOr	0.00666666666666667	-0.0318827497595153	0.0452160830928487	0.999435107509532
Ir24GfIn-Ir24SeOr	0.0286666666666667	-0.00358608910333588	0.0609194224366693	0.119637775624605
Ir24JeOr-Ir24SeOr	0.0313333333333333	-0.00314631291542265	0.0658129795820893	0.103303443517866
Ir24IeOr-Ir24SeOr	0.0466666666666666	0.0121870204179107	0.0811463129154226	0.00149495366948915
Ir24GfIn-Ir24IedOr	0.022	-0.014571187513113	0.058571187513113	0.58001256758063
Ir24JeOr-Ir24IedOr	0.0246666666666667	-0.0138827497595153	0.0632160830928487	0.500164730857452
Ir24IeOr-Ir24IedOr	0.04	0.00145058357381797	0.078549416426182	0.036181085104063
Ir24JeOr-Ir24GfIn	0.00266666666666665	-0.0295860891033359	0.0349194224366692	0.999996178795444
Ir24IeOr-Ir24GfIn	0.018	-0.0142527557700026	0.0502527557700025	0.669660096474673
Ir24IeOr-Ir24JeOr	0.0153333333333333	-0.0191463129154227	0.0498129795820893	0.865898000723641
