FreshWeight
	diff	lwr	upr	p adj
NipIeIn2v0-NipIeIn0v2	0.155	0.0402724928360337	0.269727507163966	0.00230856219388609
NipIeIn1v1-NipIeIn0v2	0.161428571428571	0.0467010642646052	0.276156078592538	0.00132167726417598
NipGfIn0v2-NipIeIn0v2	0.192472527472527	0.0755595380807508	0.309385516864304	0.000104182598741231
NipGfIn1v1-NipIeIn0v2	0.245714285714286	0.130986778550319	0.360441792878252	2.98783591534679e-07
NipGfIn2v0-NipIeIn0v2	0.291428571428571	0.176701064264605	0.406156078592538	1.8539098034509e-09
NipIeIn1v1-NipIeIn2v0	0.00642857142857145	-0.108298935735395	0.121156078592538	0.999982967588973
NipGfIn0v2-NipIeIn2v0	0.0374725274725275	-0.0794404619192492	0.154385516864304	0.935669850219787
NipGfIn1v1-NipIeIn2v0	0.0907142857142857	-0.0240132214496804	0.205441792878252	0.202338667955453
NipGfIn2v0-NipIeIn2v0	0.136428571428571	0.0217010642646053	0.251156078592538	0.0105093299138507
NipGfIn0v2-NipIeIn1v1	0.031043956043956	-0.0858690333478206	0.147956945435733	0.97076651169207
NipGfIn1v1-NipIeIn1v1	0.0842857142857143	-0.0304417928782519	0.19901322144968	0.274702004241211
NipGfIn2v0-NipIeIn1v1	0.13	0.0152724928360338	0.244727507163966	0.0171169764393639
NipGfIn1v1-NipGfIn0v2	0.0532417582417583	-0.0636712311500184	0.170154747633535	0.766969834084073
NipGfIn2v0-NipGfIn0v2	0.098956043956044	-0.0179569454357327	0.215869033347821	0.144865766999311
NipGfIn2v0-NipGfIn1v1	0.0457142857142857	-0.0690132214496805	0.160441792878252	0.852110586123352
