Supplementary Table 4: Differential phylum and class of Proteobacteria between indica and japonica.																																																																																																																																																																																																																																																																																																	
A. Mean relative abundance of each group																																																																																																																																																																																																																																																																																																	
	Field I			Field II			Field A				Field B																																																																																																																																																																																																																																																																																						
Taxonomy	japonica	indica	soil	japonica	indica	soil	nrt1.1b	ZH11	Nipponbare NRT1.1B - japonica	Nipponbare NRT1.1B - indica	nrt1.1b	ZH11	Nipponbare NRT1.1B - japonica	Nipponbare NRT1.1B - indica																																																																																																																																																																																																																																																																																			
Betaproteobacteria	58.82914	48.47187	13.10295	53.68246	45.93957	14.23119	1.09001	6.91484	21.43966	24.20547	1.14472	1.67552	26.32436	25.97991																																																																																																																																																																																																																																																																																			
Firmicutes	5.4635	5.70843	8.06789	7.63172	7.3946	6.854	52.82806	53.57266	13.00276	6.20147	43.65518	46.56501	5.22813	2.98282																																																																																																																																																																																																																																																																																			
Deltaproteobacteria	5.7658	11.3628	14.44702	6.55538	10.73863	14.03212	0.46507	6.63271	29.16232	39.1036	0.78923	1.23004	25.3231	26.6264																																																																																																																																																																																																																																																																																			
Gammaproteobacteria	2.92634	2.54177	2.54612	3.02998	3.30858	2.53668	17.10082	8.39584	11.6215	9.99965	28.30999	26.80465	15.86546	10.71802																																																																																																																																																																																																																																																																																			
Actinobacteria	5.17982	8.99862	19.25025	7.38086	9.14945	18.72445	4.77842	8.97893	7.39146	5.14782	5.48476	5.61169	8.11043	8.94607																																																																																																																																																																																																																																																																																			
Alphaproteobacteria	11.54394	8.98045	7.97471	11.20988	8.73354	7.581	2.5406	6.07433	8.57821	6.30166	4.80103	3.27861	7.52046	10.61318																																																																																																																																																																																																																																																																																			
Bacteroidetes	2.34509	4.01297	1.01936	2.5707	3.68712	0.88011	17.35021	6.59149	6.03935	5.23094	13.49661	8.49094	5.17444	5.01987																																																																																																																																																																																																																																																																																			
Chloroflexi	0.58511	1.32655	13.05566	0.95122	1.28573	12.50635	0.02019	0.46059	0.34962	0.43148	0.0203	0.07128	0.6571	0.76351																																																																																																																																																																																																																																																																																			
Acidobacteria	0.68027	1.59539	9.24592	1.1353	1.55646	9.99238	0	0.03077	0.16417	0.20442	0	0	0.38984	0.24754																																																																																																																																																																																																																																																																																			
