Supplementary Table 6: Differential abundance of OTUs between indica and japonica; details of OTUs in each part of Venn diagrams in Figure 3.														
Supplementary Table 6a: Differential abundance of OTUs between indica and japonica in Field I.														
OTUID	logFC	logCPM	P value	FDR 	level	Phylum	Class	Order	Family	Genus	Indica	Japonica	Indica_Soil	Japonica_Soil
OTU_10	-0.741	16.21	2.24999E-05	3.95045E-05	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	0.676	1.13	Enriched	Enriched
OTU_100	-0.107	11.026	0.043127115	0.053522576	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	0.014	0.015	Enriched	NotSig
OTU_1000	0.058	14.825	0.790435698	0.809559142	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	0.035	0.033	Enriched	Enriched
OTU_102	1.258	11.706	3.58167E-25	1.94945E-23	Enriched	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Dissulfuribacter	0.145	0.061	Depleted	Depleted
OTU_1021	1.512	7.047	0.056334131	0.069236465	NotSig	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	0	0	Enriched	Enriched
OTU_1023	-0.11	11.579	0.123358805	0.142856245	NotSig	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	0.008	0.009	Enriched	Enriched
OTU_104	0.001	15.076	0.399873348	0.430372163	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ciceribacter	0.407	0.406	Enriched	Enriched
OTU_1046	0.159	13.396	0.194004985	0.219987795	NotSig	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.038	0.034	NotSig	Depleted
OTU_105	0.365	13.345	0.04496522	0.055622561	NotSig	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0.27	0.21	Enriched	Enriched
OTU_106	1.372	12.08	5.40037E-27	8.03841E-25	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0.174	0.067	Depleted	Depleted
OTU_107	0.877	13.014	1.65066E-07	3.38119E-07	Enriched	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Leeia	0.121	0.066	Enriched	Enriched
OTU_108	1	13.334	4.78988E-16	2.0738E-15	Enriched	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	0.317	0.158	Depleted	Depleted
OTU_109	1.137	13.68	2.28332E-16	1.07401E-15	Enriched	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	0.349	0.159	Enriched	Enriched
OTU_11	0.891	17.581	5.93312E-16	2.51169E-15	Enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	6.645	3.584	Enriched	Enriched
OTU_111	0.683	11.244	8.51611E-09	1.9199E-08	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	0.077	0.048	Depleted	Depleted
OTU_112	0.986	13.805	2.50278E-19	1.90712E-18	Enriched	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.481	0.243	Depleted	Depleted
OTU_113	0.833	11.637	4.90843E-14	1.66974E-13	Enriched	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	0.105	0.059	Depleted	Depleted
OTU_1138	0.572	12.394	0.136873629	0.158026826	NotSig	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.021	0.014	Enriched	Enriched
OTU_114	1.215	12.329	2.36056E-23	4.73355E-22	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Neisseriaceae	Pseudogulbenkiania	0.221	0.095	Depleted	Depleted
OTU_1148	1.405	9.619	2.04672E-16	9.74749E-16	Enriched	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	0.021	0.008	Depleted	Depleted
OTU_115	1.171	14.184	2.70809E-21	3.22432E-20	Enriched	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter	0.521	0.231	Enriched	NotSig
OTU_1159	1.025	9.186	9.16664E-07	1.77284E-06	Enriched	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	0.01	0.005	Depleted	Depleted
OTU_116	1.192	12.4	2.70797E-24	9.53738E-23	Enriched	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0.19	0.083	Depleted	Depleted
OTU_1161	1.166	14.024	2.25316E-24	9.53738E-23	Enriched	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.321	0.143	Depleted	Depleted
OTU_117	1.223	12.304	1.18412E-15	4.9038E-15	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	0.115	0.049	Enriched	Enriched
OTU_1174	1.135	8.8	4.2037E-11	1.16059E-10	Enriched	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	0.013	0.006	Depleted	Depleted
OTU_118	0.943	13.486	1.8177E-09	4.3832E-09	Enriched	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	0.167	0.087	Enriched	NotSig
