Supplementary Table 7c: Abundance of japonica-enriched OTUs in time-course data.																			
OTUID	1 (day)	2 (day)	3 (day)	7 (day)	10 (day)	14 (day)	21 (day)	28 (day)	35 (day)	42 (day)	49 (day)	63 (day)	70 (day)	77 (day)	84 (day)	91 (day)	98 (day)	112 (day)	119 (day)
OTU_60	0.054	0.064	0.089	0.182	0.449	0.495	1.321	4.021	3.027	0.762	1.185	2.615	3.261	4.425	5.628	4.402	8.206	6.828	5.964
OTU_55	2.23	2.035	1.252	1.095	1.945	2.232	1.141	2.736	5.236	2.629	2.316	5.487	11.561	9.207	8.379	15.811	4.539	17.993	11.252
OTU_23	0.508	0.823	0.397	0.447	0.351	1.668	2.561	1.765	2.43	2.666	2.8	1.225	1.736	1.642	3.39	3.112	5.482	2.32	3.647
OTU_70	0	0	0	0	0	0.014	0.024	0.015	0.046	0.036	0.059	0.176	0.089	0.138	0.091	0.403	0.915	0.105	0.523
OTU_196	0.474	0.466	0.659	0.398	0.558	0.545	0.47	0.879	0.891	0.5	8.563	7.22	6.521	0.751	4.118	7.115	2.354	1.504	7.572
OTU_75	0.536	0.232	1.501	0.956	0.861	0.645	0.519	0.432	0.343	0.576	0.3	0.415	0.714	0.683	1.213	1.267	0.858	2.107	0.969
OTU_25	0.004	0	0	0	0.015	0.01	0	0.474	0.606	0.946	3.475	2.907	0.914	2.977	2.073	1.147	1.074	0.348	0.347
OTU_3	0	0.004	0.004	0	0.015	0.005	0.032	0	0.091	0	0	0	0	0	0.037	0.183	0	0.005	0.013
OTU_43	0	0.045	0.009	0.004	0	0.007	0	0.003	0.055	0.542	0.206	0.005	0.029	0.085	0.028	0.268	0.055	0.013	0
OTU_12	0.009	0.004	0	0.004	0.006	0	0.028	0.016	0.017	0	0	0	0	0.005	0	0.028	0.01	0	0.004
OTU_1971	0	0	0	0	0	0.02	0.01	0	0.012	0.256	0.023	0	0	0	0	0	0	0	0
OTU_15	0.048	0.055	0.664	2.177	15.665	8.824	1.84	1.292	0.652	0.642	0.565	0.632	0.672	1.269	2.078	4.845	2.388	1.23	1.803
OTU_86	0.085	0.066	0.071	0.022	0.112	0.492	0.241	0.121	0.039	0.012	0.173	0.038	0.028	0.091	0.094	0.097	0.017	0.08	0.09
OTU_128	0.251	0.086	0.939	0.044	0.188	0.024	0	0	0	0	0	0	0.006	0.064	0.468	0.027	0.151	0.012	0
OTU_152	7.773	4.164	0.239	0.008	0.021	0.564	0.069	0.018	0.095	0.141	0.11	0.106	0.162	0.033	0.117	1.707	0.013	0.021	0.011
OTU_10	65.677	80.663	59.92	55.646	41.494	47.825	50.966	40.227	42.133	46.402	40.697	16.937	25.842	23.496	18.74	19.972	24.448	16.878	26.382
