Supplemntary Table 10b: 13512 CFUs isolated from rice roots.						
CFU	Clean reads	Purity%	Cultured OTU	Phylum	Order	Genus
L3P22D5	2820	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P24F7	2721	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P22D1	2691	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P26D10	2674	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P23F9	2563	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P26D3	2562	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P11D6	2512	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P24D12	2467	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P09D2	2297	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P27D7	2234	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P37D1	2201	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P05F9	2198	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P25D9	2196	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P27D1	2172	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P13E1	2166	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P30D9	2162	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P08E11	2127	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P11E1	2116	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P04F3	2112	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P14E11	2100	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P22G6	2030	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P23B6	2024	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P07E6	2015	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P23G2	1996	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P27E10	1994	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P30F12	1983	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P08D1	1967	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P37E4	1935	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P09E6	1926	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P09E10	1922	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
L3P37F7	1915	100	COTU_1	Proteobacteria	Burkholderiales	Rhizobacter
